ticker,name,sector,form,filing_date,accession,source_url,local_path,status
AXP,American Express,Financials,DEF 14A,2026-03-25,0001104659-26-034163,https://www.sec.gov/Archives/edgar/data/4962/000110465926034163/tm2519434-8_def14a.htm,sp100_dataset/AXP/DEF14A_2026-03-25.txt,cached
AXP,American Express,Financials,10-K,2026-02-06,0000004962-26-000080,https://www.sec.gov/Archives/edgar/data/4962/000000496226000080/axp-20251231.htm,sp100_dataset/AXP/10-K_2026-02-06.txt,cached
BA,Boeing,Industrials,8-K,2026-04-22,0001628280-26-026391,https://www.sec.gov/Archives/edgar/data/12927/000162828026026391/ba-20260422.htm,sp100_dataset/BA/8-K_2026-04-22.txt,cached
BA,Boeing,Industrials,8-K,2026-04-17,0001628280-26-025684,https://www.sec.gov/Archives/edgar/data/12927/000162828026025684/ba-20260417.htm,sp100_dataset/BA/8-K_2026-04-17.txt,cached
BA,Boeing,Industrials,DEF 14A,2026-03-06,0001193125-26-096787,https://www.sec.gov/Archives/edgar/data/12927/000119312526096787/d39411ddef14a.htm,sp100_dataset/BA/DEF14A_2026-03-06.txt,cached
BA,Boeing,Industrials,10-K,2026-01-30,0001628280-26-004357,https://www.sec.gov/Archives/edgar/data/12927/000162828026004357/ba-20251231.htm,sp100_dataset/BA/10-K_2026-01-30.txt,cached
BAC,Bank of America,Financials,8-K,2026-07-14,0000070858-26-000353,https://www.sec.gov/Archives/edgar/data/70858/000007085826000353/bac-20260714.htm,sp100_dataset/BAC/8-K_2026-07-14.txt,cached
BAC,Bank of America,Financials,8-K,2026-05-06,0000070858-26-000273,https://www.sec.gov/Archives/edgar/data/70858/000007085826000273/bac-20260504.htm,sp100_dataset/BAC/8-K_2026-05-06.txt,cached
BAC,Bank of America,Financials,DEF 14A,2026-03-23,0001193125-26-118929,https://www.sec.gov/Archives/edgar/data/70858/000119312526118929/d43888ddef14a.htm,sp100_dataset/BAC/DEF14A_2026-03-23.txt,cached
BAC,Bank of America,Financials,10-K,2026-02-25,0000070858-26-000157,https://www.sec.gov/Archives/edgar/data/70858/000007085826000157/bac-20251231.htm,sp100_dataset/BAC/10-K_2026-02-25.txt,cached
BNY,Bank of New York Mellon,Financials,8-K,2026-07-15,0001390777-26-000071,https://www.sec.gov/Archives/edgar/data/1390777/000139077726000071/bk-20260715.htm,sp100_dataset/BNY/8-K_2026-07-15.txt,cached
