source_id,target_id,span_id
COP|Operating Cash Flow|FY2025|USD_millions|CashFlow,0001163165-26-000009|section_13,section_13
COP|Operating Cash Flow|FY2025|USD_millions|CashFlow,0001163165-26-000009|section_15,section_15
COP|Operating Cash Flow|FY2024|USD_millions|CashFlow,0001163165-26-000009|section_13,section_13
COP|Operating Cash Flow|FY2024|USD_millions|CashFlow,0001163165-26-000009|section_15,section_15
COP|Operating Cash Flow|FY2023|USD_millions|CashFlow,0001163165-26-000009|section_13,section_13
COP|Operating Cash Flow|FY2023|USD_millions|CashFlow,0001163165-26-000009|section_15,section_15
COP|Investing Cash Flow|FY2025|USD_millions|CashFlow,0001163165-26-000009|section_15,section_15
COP|Investing Cash Flow|FY2024|USD_millions|CashFlow,0001163165-26-000009|section_15,section_15
COP|Investing Cash Flow|FY2023|USD_millions|CashFlow,0001163165-26-000009|section_15,section_15
COP|Financing Cash Flow|FY2025|USD_millions|CashFlow,0001163165-26-000009|section_15,section_15
COP|Financing Cash Flow|FY2024|USD_millions|CashFlow,0001163165-26-000009|section_15,section_15
COP|Financing Cash Flow|FY2023|USD_millions|CashFlow,0001163165-26-000009|section_15,section_15
AMGN|ShareholderVote||0001193125-26-145588,0001193125-26-145588|section_0,section_0
"AMGN|ShareholderVote|May 19, 2026|0001193125-26-232786",0001193125-26-232786|section_1,section_1
"AMGN|OfficerDirectorChange|May 19, 2026|0001193125-26-232786",0001193125-26-232786|section_1,section_1
CAT|ShareholderVote||0001308179-26-000358,0001308179-26-000358|section_0,section_0
"DIS|ShareholderVote|March 18, 2026|0001628280-26-020172",0001628280-26-020172|section_2,section_2
"DIS|OfficerDirectorChange|March 18, 2026|0001628280-26-020172",0001628280-26-020172|section_1,section_1
DIS|Revenue|FY2025|USD_millions|IncomeStatement,0001744489-25-000155|section_47,section_47
DIS|Revenue|FY2024|USD_millions|IncomeStatement,0001744489-25-000155|section_47,section_47
DIS|Revenue|FY2023|USD_millions|IncomeStatement,0001744489-25-000155|section_47,section_47
DIS|Total Assets|FY2025|USD_millions|BalanceSheet,0001744489-25-000155|section_47,section_47
DIS|Total Assets|FY2024|USD_millions|BalanceSheet,0001744489-25-000155|section_47,section_47
DIS|Total Equity|FY2025|USD_millions|BalanceSheet,0001744489-25-000155|section_47,section_47
DIS|Total Equity|FY2024|USD_millions|BalanceSheet,0001744489-25-000155|section_47,section_47
DIS|Total Liabilities|FY2025|USD_millions|BalanceSheet,0001744489-25-000155|section_47,section_47
DIS|Total Liabilities|FY2024|USD_millions|BalanceSheet,0001744489-25-000155|section_47,section_47
DIS|CapEx|FY2025|USD_millions|CashFlow,0001744489-25-000155|section_47,section_47
DIS|CapEx|FY2024|USD_millions|CashFlow,0001744489-25-000155|section_47,section_47
DIS|CapEx|FY2023|USD_millions|CashFlow,0001744489-25-000155|section_47,section_47
DIS|ShareholderVote||0001744489-26-000013,0001744489-26-000013|section_0,section_0
