id,ticker,period,value,unit,scope,raw_label
COP|Total Liabilities|FY2024|USD_millions|BalanceSheet,COP,FY2024,57984,USD_millions,BalanceSheet,Total liabilities
COP|Total Equity|FY2025|USD_millions|BalanceSheet,COP,FY2025,64487,USD_millions,BalanceSheet,Total equity
COP|Total Equity|FY2024|USD_millions|BalanceSheet,COP,FY2024,64796,USD_millions,BalanceSheet,Total equity
COP|Operating Cash Flow|FY2025|USD_millions|CashFlow,COP,FY2025,19796,USD_millions,CashFlow,Net cash provided by operating activities
COP|Operating Cash Flow|FY2024|USD_millions|CashFlow,COP,FY2024,20124,USD_millions,CashFlow,Net cash provided by operating activities
COP|Operating Cash Flow|FY2023|USD_millions|CashFlow,COP,FY2023,19965,USD_millions,CashFlow,Net cash provided by operating activities
COP|Investing Cash Flow|FY2025|USD_millions|CashFlow,COP,FY2025,-8836,USD_millions,CashFlow,Net cash used in investing activities
COP|Investing Cash Flow|FY2024|USD_millions|CashFlow,COP,FY2024,-11150,USD_millions,CashFlow,Net cash used in investing activities
COP|Investing Cash Flow|FY2023|USD_millions|CashFlow,COP,FY2023,-12000,USD_millions,CashFlow,Net cash used in investing activities
COP|Financing Cash Flow|FY2025|USD_millions|CashFlow,COP,FY2025,-10102,USD_millions,CashFlow,Net cash used in financing activities
COP|Financing Cash Flow|FY2024|USD_millions|CashFlow,COP,FY2024,-8835,USD_millions,CashFlow,Net cash used in financing activities
COP|Financing Cash Flow|FY2023|USD_millions|CashFlow,COP,FY2023,-8661,USD_millions,CashFlow,Net cash used in financing activities
DIS|Revenue|FY2025|USD_millions|IncomeStatement,DIS,FY2025,94425,USD_millions,IncomeStatement,Total revenues
DIS|Revenue|FY2024|USD_millions|IncomeStatement,DIS,FY2024,91361,USD_millions,IncomeStatement,Total revenues
DIS|Revenue|FY2023|USD_millions|IncomeStatement,DIS,FY2023,88898,USD_millions,IncomeStatement,Total revenues
DIS|Total Assets|FY2025|USD_millions|BalanceSheet,DIS,FY2025,197514,USD_millions,BalanceSheet,Total assets
DIS|Total Assets|FY2024|USD_millions|BalanceSheet,DIS,FY2024,196219,USD_millions,BalanceSheet,Total assets
DIS|Total Equity|FY2025|USD_millions|BalanceSheet,DIS,FY2025,114612,USD_millions,BalanceSheet,Total equity
DIS|Total Equity|FY2024|USD_millions|BalanceSheet,DIS,FY2024,105522,USD_millions,BalanceSheet,Total equity
DIS|Total Liabilities|FY2025|USD_millions|BalanceSheet,DIS,FY2025,2298,USD_millions,BalanceSheet,Total liabilities
DIS|Total Liabilities|FY2024|USD_millions|BalanceSheet,DIS,FY2024,2396,USD_millions,BalanceSheet,Total liabilities
DIS|CapEx|FY2025|USD_millions|CashFlow,DIS,FY2025,2025,USD_millions,CashFlow,Capital expenditures
DIS|CapEx|FY2024|USD_millions|CashFlow,DIS,FY2024,2024,USD_millions,CashFlow,Capital expenditures
DIS|CapEx|FY2023|USD_millions|CashFlow,DIS,FY2023,2023,USD_millions,CashFlow,Capital expenditures
